Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed?	Ct_replicate1	TIRRko_replicate1	Ct_replicate2	TIRR_replicate2	Average_ct	Average_TIRR	TIRRdel/ct	log2(TIRR/ct)
sp|O00625|PIR_HUMAN	PIR	 Pirin OS=Homo sapiens GN=PIR PE=1 SV=1	4139	20	C	2303.78	6459.91	762.132	4976.27	1532.956	5718.09	3.730107061	1.899217039
sp|P30740|ILEU_HUMAN	SERPINB1	 Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1	805	7	C	908.581	2634.63	349.204	1981.8	628.8925	2308.215	3.670285462	1.875892275
sp|Q7Z4I7-2|LIMS2_HUMAN	LIMS2	 Isoform 2 of LIM and senescent cell antigen-like-containing domain protein 2 OS=Homo sapiens GN=LIMS2	3304	1	C	49.0884	97.891	0	80.6318	24.5442	89.2614	3.636761434	1.86265429
sp|P15559|NQO1_HUMAN	NQO1	 NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1	2158	29	C	4844.56	13138.6	1424	9393.05	3134.28	11265.825	3.594390099	1.845746993
sp|Q92567-2|F168A_HUMAN	FAM168A	 Isoform 2 of Protein FAM168A OS=Homo sapiens GN=FAM168A	6913	4	C	219.668	575.282	71.0152	465.737	145.3416	520.5095	3.581283679	1.840476801
tr|E9PAZ9|E9PAZ9_HUMAN	MS4A4A	 Uncharacterized protein OS=Homo sapiens GN=MS4A4A PE=4 SV=1	3550	1	C	441.27	1176.62	144.683	905.064	292.9765	1040.842	3.552646714	1.82889423
sp|A1KXE4-2|F168B_HUMAN	FAM168B	 Isoform 2 of Protein FAM168B OS=Homo sapiens GN=FAM168B	6057	2	C	259.622	642.946	82.2261	564.166	170.92405	603.556	3.531135613	1.820132229
sp|P14317|HCLS1_HUMAN	HCLS1	 Hematopoietic lineage cell-specific protein OS=Homo sapiens GN=HCLS1 PE=1 SV=3	7173	1	C	50.1735	103.543	0	73.2982	25.08675	88.4206	3.52459366	1.817456943
sp|Q9BZM1|PG12A_HUMAN	PLA2G12A	 Group XIIA secretory phospholipase A2 OS=Homo sapiens GN=PLA2G12A PE=1 SV=1	6872	1	C	319.221	597.874	0	486.373	159.6105	542.1235	3.396540328	1.764065984
sp|Q9UN66|PCDB8_HUMAN	PCDHB8	 Protocadherin beta-8 OS=Homo sapiens GN=PCDHB8 PE=2 SV=3	4578	4	C	266.26	629.855	58.3505	471.55	162.30525	550.7025	3.393004847	1.762563491
sp|Q8NA03|FSIP1_HUMAN	FSIP1	 Fibrous sheath-interacting protein 1 OS=Homo sapiens GN=FSIP1 PE=2 SV=1	3543	1	C	79.2208	210.494	25.1308	141.765	52.1758	176.1295	3.375693329	1.755183846
sp|P13284|GILT_HUMAN	IFI30	 Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3	6116	1	C	180.87	499.018	82.1363	383.481	131.50315	441.2495	3.355429129	1.746497286
sp|Q15532-2|SSXT_HUMAN	SS18	 Isoform 2 of Protein SSXT OS=Homo sapiens GN=SS18	5988	7	C	2060.04	5363.24	803.957	4080	1431.9985	4721.62	3.297224124	1.721251956
sp|P00441|SODC_HUMAN	SOD1	 Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	3941	22	C	8821.24	25111.4	3540.69	14576.5	6180.965	19843.95	3.210493831	1.682795226
sp|P17661|DESM_HUMAN	DES	 Desmin OS=Homo sapiens GN=DES PE=1 SV=3	928	4	C	1303.48	2714.73	283.185	2217.84	793.3325	2466.285	3.108765871	1.636341968
sp|Q9H0C5|BTBD1_HUMAN	BTBD1	 BTB/POZ domain-containing protein 1 OS=Homo sapiens GN=BTBD1 PE=1 SV=1	819	3	C	214.492	547.512	88.0468	385.494	151.2694	466.503	3.083921798	1.624766182
sp|Q15843|NEDD8_HUMAN	NEDD8	 NEDD8 OS=Homo sapiens GN=NEDD8 PE=1 SV=1	5103	5	C	2086.78	4241.43	225.214	2837.89	1155.997	3539.66	3.061997566	1.614473136
sp|P10599|THIO_HUMAN	TXN	 Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3	3568	60	C	12984.2	35350.1	6055.81	22707	9520.005	29028.55	3.049215835	1.608438274
sp|P16949|STMN1_HUMAN	STMN1	 Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3	1797	46	C	10770.3	33126.3	6763.33	19449.5	8766.815	26287.9	2.998569036	1.584274188
sp|P15121|ALDR_HUMAN	AKR1B1	 Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3	4761	23	C	6841	15402.7	2357.52	12132.4	4599.26	13767.55	2.993427204	1.581798186
##sp|O00339-2|MATN2_HUMAN	MATN2	 Isoform 2 of Matrilin-2 OS=Homo sapiens GN=MATN2	4467	2	C	823.407	1921.75	302.581	1415.26	562.994	1668.505	2.963628387	1.567364558
sp|P0C2Y1|NBPF7_HUMAN	NBPF7	 Putative neuroblastoma breakpoint family member 7 OS=Homo sapiens GN=NBPF7 PE=5 SV=1	7240	2	C	778.686	1977.19	426.5	1515.74	602.593	1746.465	2.898249731	1.535181912
sp|P12107-2|COBA1_HUMAN	COL11A1	 Isoform B of Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1	5785	4	C	472.375	1078.47	160.012	747.718	316.1935	913.094	2.887769673	1.529955678
sp|Q13642-1|FHL1_HUMAN	FHL1	 Isoform 1 of Four and a half LIM domains protein 1 OS=Homo sapiens GN=FHL1	1926	7	C	2043.8	4416.69	739.181	3513.73	1391.4905	3965.21	2.849613418	1.510766215
sp|Q86YQ8|CPNE8_HUMAN	CPNE8	 Copine-8 OS=Homo sapiens GN=CPNE8 PE=1 SV=2	2382	4	C	554.097	1309.01	267.282	1013.71	410.6895	1161.36	2.827829784	1.499695282
sp|O75177-2|CREST_HUMAN	SS18L1	 Isoform 2 of Calcium-responsive transactivator OS=Homo sapiens GN=SS18L1	2659	3	C	409.365	984.631	221.253	792.9	315.309	888.7655	2.818712755	1.495036465
sp|P24821-4|TENA_HUMAN	TNC	 Isoform 4 of Tenascin OS=Homo sapiens GN=TNC	1663	25	C	5354.48	11577.1	2007.07	9150.67	3680.775	10363.885	2.815680122	1.493483444
##sp|Q9UJX4-2|APC5_HUMAN	ANAPC5	 Isoform 2 of Anaphase-promoting complex subunit 5 OS=Homo sapiens GN=ANAPC5	6685	2	C	991.654	2146.8	381.05	1670.75	686.352	1908.775	2.781043838	1.475626486
sp|P24844|MYL9_HUMAN	MYL9	 Myosin regulatory light polypeptide 9 OS=Homo sapiens GN=MYL9 PE=1 SV=4	3099	24	C	3498.03	7964.28	1566.56	6024.47	2532.295	6994.375	2.762069585	1.465749666
sp|Q7Z6M4|MTER2_HUMAN	MTERFD2	 mTERF domain-containing protein 2 OS=Homo sapiens GN=MTERFD2 PE=1 SV=3	4918	3	C	1699.49	3467.65	269.902	1934.82	984.696	2701.235	2.743217196	1.455868853
sp|Q00013|EM55_HUMAN	MPP1	 55 kDa erythrocyte membrane protein OS=Homo sapiens GN=MPP1 PE=1 SV=2	2738	17	C	2507.74	5851.4	1312.63	4552.9	1910.185	5202.15	2.723374961	1.44539563
sp|P46937|YAP1_HUMAN	YAP1	 Yorkie homolog OS=Homo sapiens GN=YAP1 PE=1 SV=2	1755	2	C	552.331	1288.96	259.869	920.223	406.1	1104.5915	2.719998769	1.443605998
tr|E9PGZ2|E9PGZ2_HUMAN	LRRFIP1	 Uncharacterized protein OS=Homo sapiens GN=LRRFIP1 PE=4 SV=1	1168	8	C	2608.78	5068.43	819.115	4143.95	1713.9475	4606.19	2.687474383	1.426251003
tr|Q5U0E9|Q5U0E9_HUMAN	CNBP	 Cellular nucleic acid binding protein alpha variant 1 OS=Homo sapiens GN=CNBP PE=1 SV=1	3469	1	C	199.915	439.129	90.9157	339.088	145.41535	389.1085	2.675841993	1.419992928
sp|Q01469|FABP5_HUMAN	FABP5	" Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3"	5258	34	C	8208.96	18110.2	3960.55	14418	6084.755	16264.1	2.672926026	1.418419911
sp|Q14192|FHL2_HUMAN	FHL2	 Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3	38	44	C	11322.2	26135.6	5691.66	19154.5	8506.93	22645.05	2.661953255	1.412485237
sp|O43790|KRT86_HUMAN	KRT86	" Keratin, type II cuticular Hb6 OS=Homo sapiens GN=KRT86 PE=1 SV=1"	928	2	C	241.96	581.942	147.547	454.537	194.7535	518.2395	2.661002241	1.411969726
sp|Q13643|FHL3_HUMAN	FHL3	 Four and a half LIM domains protein 3 OS=Homo sapiens GN=FHL3 PE=1 SV=4	3573	15	C	3450.22	7551.91	1670.94	6072.53	2560.58	6812.22	2.660420686	1.411654394
##sp|Q9NXG0-2|CNTLN_HUMAN	CNTLN	 Isoform 2 of Centlein OS=Homo sapiens GN=CNTLN	7154	3	C	626.236	1795.26	612.605	1493.65	619.4205	1644.455	2.654828182	1.408618494
##sp|Q9BX26|SYCP2_HUMAN	SYCP2	 Synaptonemal complex protein 2 OS=Homo sapiens GN=SYCP2 PE=2 SV=2	3512	1	C	287.143	628.765	125.771	456.302	206.457	542.5335	2.627828071	1.393870888
sp|O94856-10|NFASC_HUMAN	NFASC	 Isoform 10 of Neurofascin OS=Homo sapiens GN=NFASC	432	3	C	326.806	762.992	178.873	555.085	252.8395	659.0385	2.606548819	1.382140881
sp|P17096-3|HMGA1_HUMAN	HMGA1	 Isoform HMG-R of High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1	5444	8	C	2641.17	5276.87	1117.17	4482.16	1879.17	4879.515	2.596633088	1.376642171
sp|P07951|TPM2_HUMAN	TPM2	 Tropomyosin beta chain OS=Homo sapiens GN=TPM2 PE=1 SV=1	923	9	C	2512.14	6862.71	1709.07	4090.35	2110.605	5476.53	2.594767851	1.375605469
sp|Q06830|PRDX1_HUMAN	PRDX1	 Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1	721	87	C	24997.7	66898.7	16036.1	38856.9	20516.9	52877.8	2.577280193	1.365849391
sp|O60437|PEPL_HUMAN	PPL	 Periplakin OS=Homo sapiens GN=PPL PE=1 SV=4	1187	27	C	5084.33	11006.2	2561.73	8637.6	3823.03	9821.9	2.569140185	1.361285613
sp|Q9NX24|NHP2_HUMAN	NHP2	 H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens GN=NHP2 PE=1 SV=1	831	7	C	2494.15	5180.46	699.915	2991.79	1597.0325	4086.125	2.558573479	1.355339666
sp|Q9P0M6|H2AW_HUMAN	H2AFY2	 Core histone macro-H2A.2 OS=Homo sapiens GN=H2AFY2 PE=1 SV=3	470	3	C	1169.75	1824.05	106.034	1439.48	637.892	1631.765	2.558058417	1.355049211
sp|Q99685|MGLL_HUMAN	MGLL	 Monoglyceride lipase OS=Homo sapiens GN=MGLL PE=1 SV=2	5947	6	C	900.902	2073.87	584.61	1698.94	742.756	1886.405	2.539737141	1.344679188
sp|P50224-2|ST1A3_HUMAN	SULT1A3	 Isoform 2 of Sulfotransferase 1A3/1A4 OS=Homo sapiens GN=SULT1A3	7296	1	C	58.4456	137.078	35.0765	100.354	46.76105	118.716	2.538779604	1.344135157
##sp|Q13423|NNTM_HUMAN	NNT	" NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens GN=NNT PE=1 SV=3"	3625	1	C	116.688	231.323	44.7884	177.129	80.7382	204.226	2.529484185	1.338843219
sp|Q9NPA8|ENY2_HUMAN	ENY2	 Enhancer of yellow 2 transcription factor homolog OS=Homo sapiens GN=ENY2 PE=1 SV=1	2376	3	C	1877.5	3448.54	487.617	2533.62	1182.5585	2991.08	2.529329416	1.338754944
sp|Q8WUP2|FBLI1_HUMAN	FBLIM1	 Filamin-binding LIM protein 1 OS=Homo sapiens GN=FBLIM1 PE=1 SV=2	78	3	C	1103.91	2231.92	493.286	1798.78	798.598	2015.35	2.523610127	1.335489045
sp|P13647|K2C5_HUMAN	KRT5	" Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3"	928	3	C	211.759	449.296	102.838	343.534	157.2985	396.415	2.52014482	1.333506641
sp|P11137-3|MAP2_HUMAN	MAP2	 Isoform 3 of Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2	902	52	C	12330.3	24526.4	5283.52	19437.9	8806.91	21982.15	2.496011654	1.319624671
sp|Q13938|CAYP1_HUMAN	CAPS	 Calcyphosin OS=Homo sapiens GN=CAPS PE=1 SV=1	4855	1	C	271.974	563.447	134.506	440.36	203.24	501.9035	2.469511415	1.304225637
sp|A6NCN2|KT81L_HUMAN		 Keratin-81-like protein OS=Homo sapiens PE=2 SV=3	928	4	C	577.287	1075.25	313.655	1123.27	445.471	1099.26	2.467635379	1.303129236
sp|Q8NEZ3-2|WDR19_HUMAN	WDR19	 Isoform 2 of WD repeat-containing protein 19 OS=Homo sapiens GN=WDR19	6435	2	C	1057.32	1562.66	96.0252	1275.57	576.6726	1419.115	2.460867744	1.299167124
sp|Q9Y6K5|OAS3_HUMAN	OAS3	 2'-5'-oligoadenylate synthase 3 OS=Homo sapiens GN=OAS3 PE=1 SV=3	1783	7	C	1221.91	2674.87	710.751	2025.42	966.3305	2350.145	2.432030242	1.282161169
sp|Q5UCC4-2|INM02_HUMAN	C19orf63	 Isoform 2 of UPF0510 protein INM02 OS=Homo sapiens GN=C19orf63	4669	4	C	452.722	910.305	199.263	668.279	325.9925	789.292	2.421196807	1.275720353
sp|P51810|GP143_HUMAN	GPR143	 G-protein coupled receptor 143 OS=Homo sapiens GN=GPR143 PE=1 SV=2	6879	2	C	496.134	1070.72	307.402	874.384	401.768	972.552	2.420680592	1.275412729
tr|Q8IUX2|Q8IUX2_HUMAN	MAP2	 Microtubule-associated protein OS=Homo sapiens GN=MAP2 PE=2 SV=1	902	2	C	299.463	634.156	181.694	522.804	240.5785	578.48	2.404537396	1.265759364
sp|Q8NFP7|NUD10_HUMAN	NUDT10	 Diphosphoinositol polyphosphate phosphohydrolase 3-alpha OS=Homo sapiens GN=NUDT10 PE=1 SV=1	88	4	C	1638.21	3014.25	609.14	2389.21	1123.675	2701.73	2.404369591	1.265658679
sp|Q8WUH1|CHUR_HUMAN	CHURC1	 Protein Churchill OS=Homo sapiens GN=CHURC1 PE=1 SV=1	977	4	C	758.512	1575.12	419.697	1236.14	589.1045	1405.63	2.38604526	1.254621409
sp|P19883-2|FST_HUMAN	FST	 Isoform 2 of Follistatin OS=Homo sapiens GN=FST	3646	11	C	2754.06	5585.03	1441.73	4421.61	2097.895	5003.32	2.384923936	1.253943254
sp|Q9BYN0|SRXN1_HUMAN	SRXN1	 Sulfiredoxin-1 OS=Homo sapiens GN=SRXN1 PE=1 SV=2	4928	9	C	1946.5	4134.11	1209.62	3365.29	1578.06	3749.7	2.376145394	1.248623116
sp|P02765|FETUA_HUMAN	AHSG	 Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	3420	7	C	1197.94	3331.47	987.79	1846.59	1092.865	2589.03	2.369030027	1.244296484
sp|P11413-2|G6PD_HUMAN	G6PD	 Isoform Long of Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD	3519	64	C	16158.1	32552.1	8763.79	26350.8	12460.945	29451.45	2.363500521	1.240925183
sp|O00151|PDLI1_HUMAN	PDLIM1	 PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	296	49	C	8547.73	18863.2	5310.11	13889.4	6928.92	16376.3	2.363470786	1.240907032
sp|Q13748-2|TBA3C_HUMAN	TUBA3C	 Isoform 2 of Tubulin alpha-3C/D chain OS=Homo sapiens GN=TUBA3C	1419	9	C	1661.5	5532.09	1678.39	2338.28	1669.945	3935.185	2.356475812	1.236630873
sp|P15822|ZEP1_HUMAN	HIVEP1	 Zinc finger protein 40 OS=Homo sapiens GN=HIVEP1 PE=1 SV=3	7063	1	C	95.7869	225.445	38.3677	90.5671	67.0773	158.00605	2.355581545	1.236083276
sp|Q6PH81-2|CP087_HUMAN	C16orf87	 Isoform 2 of UPF0547 protein C16orf87 OS=Homo sapiens GN=C16orf87	7059	1	C	202.915	403.63	103.667	316.891	153.291	360.2605	2.350173852	1.232767483
sp|Q8IY31-2|IFT20_HUMAN	IFT20	 Isoform 2 of Intraflagellar transport protein 20 homolog OS=Homo sapiens GN=IFT20	4838	2	C	617.249	1231.95	233.919	763.626	425.584	997.788	2.344514831	1.229289406
##sp|P09936|UCHL1_HUMAN	UCHL1	 Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens GN=UCHL1 PE=1 SV=2	6904	6	C	3066.42	5482.22	1162.22	4424.51	2114.32	4953.365	2.342769779	1.22821519
sp|P31949|S10AB_HUMAN	S100A11	 Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2	3505	27	C	5760.57	11814.3	3056.56	8768.82	4408.565	10291.56	2.334446696	1.223080647
sp|Q16236-2|NF2L2_HUMAN	NFE2L2	 Isoform 2 of Nuclear factor erythroid 2-related factor 2 OS=Homo sapiens GN=NFE2L2	6585	1	C	94.3109	202.436	59.2877	155.181	76.7993	178.8085	2.328256898	1.219250253
sp|P78559|MAP1A_HUMAN	MAP1A	 Microtubule-associated protein 1A OS=Homo sapiens GN=MAP1A PE=1 SV=6	130	60	C	11325.4	22912.2	6408.32	18314.1	8866.86	20613.15	2.324740664	1.217069785
